Power Measurement Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Version: ;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Last Update:;22/01/21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Static Power / Sleep Mode (for the board);;;;;Dynamic Power 0 - Motherboard Wakes Up;;;;;Dynamic Power 1 - Threshold Not Exceeded (for the board);;;;;Dynamic Power 2 - Threshold Exceeded (for the board);;;;;Dynamic Power 3 - Polling Interrupt (for the board);;;;;Dynamic Power 4 - Acc. Message Saving for One Metric (for the motherboard);;;;;Data Sending Power - Status Message (for the motherboard);;;;;Data Sending Power - Normal Message (for the motherboard);;;;;Data Sending Power - Accumulated Message (for the motherboard);;;;;Threshold Interval [ms];Number of Metrics
;ID;Date;Method;Board;Max. Current [μA];Min. Current [μA];Aver. Current [μA];Energy [μWh];Interval Time [ms];Max. Current [μA];Min. Current [μA];Aver. Current [μA];Energy [μWh];Interval Time [ms];Max. Current [μA];Min. Current [μA];Aver. Current [μA];Energy [μWh];Interval Time [ms];Max. Current [μA];Min. Current [μA];Aver. Current [μA];Energy [μWh];Interval Time [ms];Max. Current [μA];Min. Current [μA];Aver. Current [μA];Energy [μWh];Interval Time [ms];Max. Current [μA];Min. Current [μA];Aver. Current [μA];Energy [μWh];Interval Time [ms];WUT_ST Energy [μWh];WUT_ST Time [ms];DATA_TX Aver. Cur [μA];DATA_RX Energy [μWh];DATA_RX Time [μWh];WUT Energy [μWh];WUT Time [ms];DATA_TX Aver. Cur [μA];DATA_RX Energy [μWh];DATA_RX Time [μWh];WUT Energy [μWh];WUT Time [ms];DATA_TX Aver. Cur [μA];DATA_RX Energy [μWh];DATA_RX Time [μWh];;
;0;22/01/21;Measures with OTII ARC ;Motherboard;379.5;26.53;27.89;No data;No data;9154;-267.8;8044;0.611;82.88;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;1.094;82.22;47300;39.06;2299.66;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data
;1;20/01/21;Measures with OTII ARC ;Buttons;1.104;-0.49;0.6;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;12740;-292.8;6658;10.286;1687.54;No data;No data;No data;No data;No data;16320;-228.6;9208;0.3714;44.02;No data;No data;No data;No data;No data;1.05;77.3;47080;37.36;2257.3;1.876;134.24;47060;38.7;2255.2;No data;1
;2;21/01/21;Measures with OTII ARC ;Power (no thresh);386.8;-13.6;2.54;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;No data;9698;42.36;6636;0.044;7.18;18480;-810.6;9284;0.385;45.26;No data;No data;No data;No data;No data;1.084;77.06;47496;39;2257.6;1.734;121.6;47320;39.06;2259.32;No data;2
;3;21/01/21;Measures with OTII ARC ;Power;627;-9.89;3.42;No data;No data;No data;No data;No data;No data;No data;11250;-733;6184.5;0.18;31.655;9250;-18.84;7164;0.183;27.72;9786;78.22;6868;0.046;7.21;18480;-810.6;9284;0.385;45.26;No data;No data;No data;No data;No data;1.066;77.104;46856;38.66;2257.98;1.734;121.6;47320;39.06;2259.32;64000;2
